city,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,data_quality,Cost_of_Living_Index,highest_cost_of_living_index,lowest_cost_of_living_index
Almada,Portugal,8.43,26.34,5.37,1.9,2.63,1.71,1.24,1.42,0.55,1.55,0.76,2.02,6.85,5.51,9.3,2.16,1.02,1.58,2.1,1.16,0.74,1.21,0.47,3.95,1.25,1.58,5.37,1.74,42.15,3.42,0.99,15.81,2.14,21074.9,16859.92,73.76,0.05,31.35,30.95,13.17,7.38,382.86,4214.98,72.44,28.98,76.4,68.14,711.28,579.56,843,1027.4,2684.94,2202.68,1176.68,2.58,0,474.533,NULL,NULL
Oceanside,"United States",18,70,9.75,7.5,7,5.28,2,1.7,0.94,3.48,4.65,2.75,15.17,11.71,15.76,4.61,1.48,4.98,4.96,3.67,3.42,1.77,2.33,12,2.86,2,9.5,2.5,87,2.8,1.86,25,1.55,23500,23666.67,156.66,0.12,79,35,12,13.25,1200,8000,52.5,41.25,74.83,102.5,2333.33,2008.33,4400,3150,10763.91,4574.66,3856,5.43,0,1552.46,1577.13,NULL
Olsztyn,Poland,5.63,33.81,5.63,1.58,1.35,1.92,0.9,1.28,0.66,0.82,0.82,2.58,5.41,3.8,7.86,0.74,1.02,1.24,2.37,0.72,0.86,0.86,0.47,5.41,0.68,1.13,4.06,0.86,18.03,1.24,0.45,9.01,1.42,17714.47,18706.12,209.6,0.05,11.49,21.19,11.64,5.41,180.3,2028.37,69.11,28.85,59.05,65.81,450.75,326.79,709.93,574.71,2760.84,1915.69,796.32,4.75,1,313.39,NULL,NULL
Oeiras,Portugal,9.48,37.93,6.22,2.53,2.79,1.76,1.48,1.19,0.79,1.43,0.95,2.43,13.67,7.61,9.22,1.73,1.61,1.73,1.83,1.13,1.46,0.83,0.74,5.01,1.55,2.42,5.48,2.5,42.15,4.16,0.99,15.81,2.14,29504.87,35956.42,126.23,0.24,39.5,45.91,8.17,7.43,421.5,11117.01,87.46,40.04,78.14,83.77,882.51,777.14,1654.38,1132.78,3780.31,2752.91,1080.09,2.33,1,493.645,NULL,NULL
Burgos,Spain,10.54,52.69,7.38,2.63,2.69,1.69,1.77,1.11,0.81,1.09,1.22,1.56,9.82,6.3,9.48,1.51,1.12,1.09,1.83,0.66,1.21,1.04,0.39,3.69,0.88,1.26,5.11,1.26,26.34,2.63,1.16,23.18,1.67,25816.76,21777.4,109.41,0.04,27.66,36.85,10.01,7.9,258.17,6322.47,66.74,29.86,54.44,89.57,566.39,439.06,843,720.06,2107.49,1721.12,1752.73,2.29,0,582.73,NULL,NULL
Eskisehir,Turkey,2.68,13.42,3.09,1.77,2.15,1.35,0.6,0.26,0.78,0.4,1.28,1.27,4.47,3.44,8.15,0.7,1.16,0.74,0.77,0.46,0.37,0.71,0.27,6.17,1.53,2.22,1.66,0.32,17.44,0.54,0.48,3.76,1.27,35687.64,33608.1,53.21,0.16,8.69,13.48,8.05,1.96,210.19,2817.45,37.23,29.78,62.39,51.43,169.05,104.89,284.43,187.83,1305.42,690.94,310.46,20.25,1,120.628,NULL,NULL
"Castellon de la Plana",Spain,10.54,31.61,7.9,1.84,2.63,1.55,1.71,1.19,0.83,0.97,0.96,1.71,6.16,5.66,9.99,1.82,1.93,1.02,2.74,1.47,1.48,0.91,0.52,4.74,0.85,2.02,5.69,1.11,31.61,4.74,1.08,13.7,1.76,21074.9,18967.41,143.1,0.16,38.64,29.77,12.64,8.17,237.09,5268.73,84.3,26.08,66.74,77.27,526.87,404.03,843,737.62,3161.24,1475.24,1844.05,1.43,0,595.643,NULL,NULL
Ocala,"United States",20,45,8,5,7,4.33,2.12,1.54,1.09,3.48,3.6,3.29,12.55,11.24,14.3,4.58,1.59,3.8,4.23,3.06,2.75,2.02,1.76,8.99,1.64,4.22,7,2,38.5,3.62,1.49,18,1.16,24000,21497.8,168.49,0.19,63.19,32.49,0,13.49,766.67,8500,46.13,30.5,81,101.18,1400,1166.67,2133.33,1800,1883.68,1749.14,3400,5.12,0,1205.5,1577.13,NULL
Uppsala,Sweden,11.62,77.47,8.23,6.78,8.47,3.5,1.96,1.86,1.16,2.58,2.37,2.78,9.7,10.35,14.62,2.31,2.31,2.74,3.37,1.36,1.23,1.91,1.54,9.68,1.89,3,6.1,2.91,93.94,6.29,2.32,31.96,1.99,28083.9,30989.13,98.99,0.08,35.26,31.69,29.83,14.53,132.35,5084.15,98.89,30.26,73.82,113.79,850.82,574.99,1416.3,913.07,3964.43,2808.39,2497.29,2.33,1,840.66,NULL,NULL
Haarlem,Netherlands,18.44,71.13,12.38,5.53,4.74,3.65,3.24,2.95,1.09,2.11,1.9,2.06,11.88,8.44,28.17,2.85,1.35,1.47,2.7,1.08,0.94,0.82,0.63,6.31,1.25,1.81,8.54,4.21,114.86,5.27,3.16,22.76,2.22,26862.07,24931.61,278.28,0.21,51.17,38.64,15.81,12.64,2257.65,3775.92,106.07,45.31,113.01,190.99,1585.89,1270.7,2560.07,1784.52,6691.28,5367.51,2815.59,2.57,1,1106.03,NULL,NULL
Patra,Greece,10.54,36.88,6.32,3.16,4.74,3.51,1.82,0.53,1.27,1.02,2.24,3.89,9.19,7.6,10.88,1.88,1.66,1.28,1.89,0.99,0.93,0.83,1.04,7.38,2.15,2.77,5.06,1.48,52.69,4.21,1.36,12.64,2.19,25658.7,26433.55,171.24,0.98,29.45,31.22,14.25,8.43,319.64,6603.47,75.08,30.82,74.42,77.98,303.67,245.52,574.77,579.56,1642.09,1238.15,715.49,5.83,1,257.795,NULL,NULL
Grenoble,France,14.23,52.69,9.48,5.53,5.27,2.95,2.69,1.64,1.16,1.96,2.26,2.98,20.62,10.76,19.87,2.63,2.07,2.36,2.91,1.56,2.05,1.2,1.07,7.38,2.21,2.55,10.54,1.79,63.22,2.63,1.96,28.45,2.1,30558.61,34246.72,168.17,0.11,33.95,39.38,10.89,10.54,1001.06,5268.73,90.32,34.9,79.03,121.18,626.39,505.8,1132.78,930.81,3451.02,2766.08,2054.8,1.09,1,674.302,NULL,NULL
Edirne,Turkey,2.68,10.52,3.03,1.42,2.09,1.26,0.6,0.17,0.8,0.44,1.21,1.31,4.82,3.5,7.88,0.65,1.11,0.72,0.86,0.41,0.33,0.53,0.22,5.37,1.38,1.89,1.59,0.38,13.42,0.54,0.54,3.7,1.14,30857.74,27518.84,53.18,0.21,7.2,15.55,13.06,2.15,161,4893.44,30.05,27.91,50.08,39.18,298,180.67,375.66,277.27,751.32,536.66,285.77,20.33,0,146.708,NULL,NULL
Nador,Morocco,1.42,12.28,4.72,2.36,1.89,1.17,0.42,0.26,0.67,0.14,1.01,1.11,3.78,4.62,8.03,0.93,0.88,0.47,0.41,0.38,0.43,0.24,0.47,5.19,1.45,1.23,3.26,0.33,9.44,0.66,0.94,3.15,1.1,27582.26,20441.13,31.16,0.11,28.04,27.46,28.52,3.23,57.61,1007.87,20.47,22.9,39.67,48.54,170,122.01,376.52,238.26,472.23,259.73,472.23,3.5,0,160.995,NULL,NULL
Klaipeda,Lithuania,7.38,31.61,6.32,4.21,3.16,2.66,1.9,1.51,1.17,1.26,1.75,2.22,8.87,5.54,9.3,1.01,1.11,1.21,1.95,0.48,0.56,1.69,0.79,7.38,1.16,1.48,4.48,1.05,27.92,1.05,0.84,13.17,1.83,20021.16,20021.16,145.68,0.07,10.96,39.78,22.83,8.43,368.81,4648.77,97.47,35.83,94.84,124.69,406.44,279.24,716.55,432.04,1949.43,1317.18,1093.88,2.38,1,377.188,NULL,NULL
Odense,Denmark,21.26,113.4,11.98,6.8,6.38,5.83,3.7,3.26,1.7,3.56,2.3,4.18,12.8,12.29,15.84,3.79,4.27,4.52,4.16,2.75,2.04,1.92,1.29,7.8,1.82,2.24,8.65,3.4,70.88,6.59,2.2,47.37,2.14,35437.87,38036.65,211,0.09,33.65,38.61,13.68,17.01,243.34,5412.54,86.81,32.43,94.5,94.97,885.24,666.23,1701.02,1319.86,3173.44,2338.9,2895.05,1.25,1,951.237,NULL,NULL
"Ramat Gan",Israel,20.55,88.08,17.18,7.63,8.37,4.4,2.85,2.26,1.87,3.06,2.81,4.08,16.48,10.72,21.24,3.57,2.65,2.24,2.41,1.67,1.42,2.08,2.28,14.68,3.02,3.23,10.28,1.76,64.59,4.26,1.17,35.23,2.04,38152.7,39407.82,213.57,0.17,30.06,76.75,14.68,12.62,1050.48,15120.15,92.23,61.62,128.34,141.9,1387.24,1191.16,2084.53,1834.97,9223.78,6972.89,2704.34,3.62,1,1028.47,NULL,NULL
Chillan,Chile,4.53,33.96,8.77,2.15,3.4,2.79,0.96,0.83,0.89,1.45,1.43,2.13,7.19,3.99,7.98,1.04,1.01,1.36,0.85,0.77,1.06,0.71,0.94,3.96,1.02,1.41,4.53,0.57,37.35,0.68,0.68,9.05,1.18,9054.9,15280.14,137.08,0.07,24.15,20.75,6.79,4.53,215.05,5432.94,50.37,16.6,57.35,72.16,311.26,281.08,509.34,438.6,1810.98,2641.01,594.23,4,0,227.648,NULL,NULL
Itapetininga,Brazil,5.75,23.95,5.58,1.72,3.64,1.18,1.09,0.58,0.83,1.34,0.96,1.36,8.94,3.44,8.62,1.41,1.14,1,1.59,0.96,1.03,0.77,0.48,6.13,1.36,3,2.11,0.67,41.19,1.15,0.67,9.58,1.27,18488.72,20564.3,52.69,0.19,15.33,20.12,21.65,5.51,364.03,2758.94,30.08,22.99,62.36,52.69,114.96,95.8,229.91,191.59,959.88,800.86,329.86,8.93,0,112.81,NULL,NULL
Teresopolis,Brazil,4.79,15.33,5.16,1.71,2.01,1.43,0.93,0.45,1.19,0.91,1.07,1.75,6.32,3.07,6.13,3,1.09,0.96,1.18,1.01,0.99,0.3,0.5,4.31,0.67,2.59,1.44,0.84,50.77,1.01,1.05,2.3,1.49,17243.36,15327.43,40.23,0.23,22.93,25.55,26.82,4.79,172.43,4789.82,36.08,30.02,57.48,42.15,217.14,166.05,351.25,268.23,862.17,910.07,373.61,11,0,149.095,NULL,NULL
Mostar,"Bosnia And Herzegovina",5.11,27.55,4.84,1.61,1.61,1.48,1.48,1.08,0.86,0.78,1.72,2.05,8.81,6.62,9.45,1.16,1.52,1.76,1.6,0.74,0.68,0.62,0.78,6.85,1.22,1.36,3.23,1.08,30.24,1.61,0.54,9.68,1.43,21501.67,21921.62,130.33,0.16,25.46,27.97,13.43,4.7,173.01,2794.73,76.84,32.63,85.09,103.33,209.64,139.1,372.68,255.02,1339.4,1021.33,639.1,3.58,1,213.732,NULL,NULL
Reading,"United Kingdom",24.6,73.8,7.07,4.92,4.92,3.68,1.91,1.31,1.21,1.46,1.88,2.92,5.77,6.55,11.61,2.9,1.99,3.53,2.94,1.62,1.22,1.03,1.08,9.84,2.17,2.68,14.76,2.77,73.19,3.44,1.69,23.62,1.95,26752.5,27202.99,226.3,0.01,36.45,40.96,15.95,9.23,1537.5,17765.3,73.8,44.28,101.91,87.64,1276.79,1047.61,2107.58,1690.67,7431.12,4845.03,2796.56,2.8,1,1025.18,NULL,NULL
Enschede,Netherlands,15.81,63.22,9.75,6.32,3.95,3.21,2.47,2.27,1.11,1.96,2.65,1.87,11.77,8.57,27.43,2.84,1.36,1.47,2.65,1.05,0.94,0.79,0.69,6.31,1.25,1.81,8.43,2.63,59.54,3.16,2.03,23.71,2.23,25981.14,30042.63,205.43,0.08,46.36,21.07,9.66,11.06,1053.75,8271.9,84.15,37.75,109.98,124.34,1035.3,837.14,1444.51,1169,3006.69,2750.28,3175.29,1.9,1,1057.26,NULL,NULL
Gaziantep,Turkey,3.22,16.1,4.02,1.5,1.88,1.62,0.66,0.2,0.75,0.32,1.09,1.22,4.18,3.08,8.05,0.49,0.97,0.43,0.73,0.45,0.35,0.56,0.22,5.37,1.38,2.01,1.5,0.35,23.33,0.8,0.38,2.68,1.24,34614.33,31304.95,64.4,0.08,7.51,20.57,14.31,2.15,120.75,3756.59,24.82,33.54,65.07,32.2,167.71,114.04,295.16,187.83,822.87,518.77,375.83,19,1,136.777,NULL,NULL
Arad,Romania,5.46,25.69,4.82,1.71,2.03,1.68,1.25,1.2,1.39,1.02,1.07,2.57,6.42,4.98,12.84,0.74,1.07,1.12,1.71,0.57,0.58,0.64,0.56,6.42,0.95,1.36,5.03,0.64,19.27,0.64,0.64,6.42,1.71,16848.33,18593.05,147.42,0.05,8.03,28.9,7.49,4.28,214.08,3746.44,64.22,34.79,74.93,80.28,237.83,180.99,422.88,291.1,897.31,756.56,721.37,5.02,1,241.325,NULL,NULL
Heidelberg,Germany,15.81,60.59,10.54,4.21,3.48,3.19,2.58,2.21,1.12,2.26,2.33,2.84,10.22,7.63,14.45,2.93,1.77,2.18,1.3,1.51,0.96,1.74,0.59,5.8,0.58,2.24,7.59,2.92,84.3,3.16,2.85,31.61,2.22,25816.76,27660.81,287.93,0.09,39.32,45.55,22.66,14.75,453.11,20021.16,92.73,30.3,99.35,121.18,1027.4,735.71,1859.86,1396.21,7376.22,5163.35,3114.4,1.19,1,1040.13,NULL,NULL
Livorno,Italy,15.81,52.69,8.64,5.27,4.21,1.3,2.32,0.93,1.2,1.67,1.9,2.57,15.81,6.06,10.53,1.76,1.53,2.1,1.93,1.16,1.05,1.44,0.33,4.48,1.5,2.27,5.8,1.58,31.61,4.82,1.58,25.29,2.02,20389.97,17386.8,212.34,0.11,29.5,57.96,21.07,8.96,421.5,12012.7,86.93,42.15,63.22,112.4,526.87,447.84,658.59,605.9,1580.62,1580.62,1534.84,2.1,0,519.775,NULL,NULL
Szeged,Hungary,5.4,32.14,5.14,1.03,1.54,1.41,0.94,0.74,0.85,1.13,1.24,2.02,8.33,4.51,9.9,1.38,1.45,1.61,2.5,0.98,0.8,0.98,0.34,4.76,0.78,1.36,5.03,1.03,20.57,1.54,1.14,10.03,1.23,16969.2,22470.05,138.59,0.07,11.74,31.37,10.62,4.54,163.08,5039.34,51.42,27,55.28,69.42,326.9,220.69,467.94,334.24,2121.15,1799.76,717.52,4.3,1,262.712,NULL,NULL
Champaign,"United States",18,47.5,7,5,6,3.92,1.75,1.59,0.94,2.9,2.34,1.8,10.47,7.34,15.8,4.23,1.23,4.96,3.44,3.31,2.78,1.68,1.62,8,2.19,2.07,8,1,17.5,2.25,1.86,20,1.27,22500,19333.33,107.06,0.25,50,36.5,8,12,900,5000,44.25,40,94,126.67,775,650,1850,1375,1614.59,1614.59,4660.07,4.87,0,1363.52,1577.13,NULL
Bharuch,India,3.07,6.75,6.14,2.76,4.3,1.93,0.6,0.12,0.7,0.5,0.68,0.9,7.94,2.74,5.94,1.84,0.35,0.61,0.31,0.25,0.37,0.47,0.31,6.45,2.15,3.4,3.68,0.37,3.68,0.39,0.16,1.78,1.22,11053.58,19650.82,64.74,0.01,9.42,18.42,5.53,2.46,29.48,823.49,32.79,26.61,49.87,28.66,209.77,210.48,262.6,258.68,584.36,489.27,614.09,8.5,0,206.825,NULL,NULL
Konya,Turkey,2.55,13.42,3.49,1.61,1.94,1.49,0.5,0.22,0.66,0.37,1.07,1,3.14,2.93,7.19,0.57,1.19,0.71,0.99,0.36,0.23,0.84,0.29,6.44,1.95,2.28,1.45,0.19,13.42,0.39,0.38,2.41,1.2,26832.81,26123.22,79.17,0.18,7.59,16.89,7.09,2.68,135.97,1663.63,30.94,31.37,52.13,56.19,118.45,90.85,224.2,162.41,500.43,335.61,290.54,23.97,1,102.933,NULL,NULL
Amersfoort,Netherlands,16.86,68.49,10.54,5.27,4.48,3.1,2.77,2.05,1.07,1.99,1.69,1.72,11.75,8.67,28.97,2.73,1.35,1.42,2.77,1.01,0.94,0.79,1,6.31,1.38,2.11,8.43,3.16,118.02,8.69,2.63,22.76,2.21,35563.9,30909.86,184.41,0.13,39.34,34.07,20.72,12.64,2002.12,2107.49,84.3,40.39,108.89,75.52,1123.99,965.93,1756.24,1440.12,4425.73,5795.6,3371.98,2.32,1,1129,NULL,NULL
